id,date,mean,target
1,2000-10-01,6.374444599239252,Terrestrial
2,2000-10-01,6.51619403446006,Terrestrial (coincident aquatic)
3,2000-10-01,7.6070439203021705,Terrestrial (coincident aquatic)
4,2000-10-01,6.477161375601256,Terrestrial (coincident aquatic)
5,2000-10-01,5.656644047605916,Terrestrial
6,2000-10-01,5.890775353436494,Terrestrial
7,2000-10-01,6.766101853005294,Terrestrial (coincident aquatic)
8,2000-10-01,6.2998855753482,Terrestrial
9,2000-10-01,5.706962133630713,Terrestrial (coincident aquatic)
10,2000-10-01,7.5087364094413305,Terrestrial (coincident aquatic)
11,2000-10-01,6.971258349267649,Aquatic
12,2000-10-01,7.899248785519587,Aquatic
13,2000-10-01,6.706149694892798,Aquatic
14,2000-10-01,7.937144756317139,Aquatic
15,2000-10-01,,Aquatic
16,2000-10-01,8.018345832824707,Aquatic
17,2000-10-01,7.543422075418325,Aquatic
18,2000-10-01,5.967033863067627,Aquatic
19,2000-10-01,6.7745756411728175,Terrestrial
20,2000-10-01,5.935544109649757,Terrestrial
1,2000-11-01,5.941836956748391,Terrestrial
2,2000-11-01,5.970144824858036,Terrestrial (coincident aquatic)
3,2000-11-01,6.355545703684446,Terrestrial (coincident aquatic)
4,2000-11-01,5.754875980229548,Terrestrial (coincident aquatic)
5,2000-11-01,4.973864856153485,Terrestrial
6,2000-11-01,5.313846703855513,Terrestrial
7,2000-11-01,6.009347543925351,Terrestrial (coincident aquatic)
8,2000-11-01,5.50175346884529,Terrestrial
9,2000-11-01,4.843913796882403,Terrestrial (coincident aquatic)
10,2000-11-01,6.92330030376488,Terrestrial (coincident aquatic)
11,2000-11-01,6.618814766954961,Aquatic
12,2000-11-01,6.696077829332008,Aquatic
13,2000-11-01,5.866443507590991,Aquatic
14,2000-11-01,7.024974822998047,Aquatic
15,2000-11-01,,Aquatic
16,2000-11-01,6.610196113586426,Aquatic
17,2000-11-01,6.532740959754356,Aquatic
18,2000-11-01,5.620347023010254,Aquatic
19,2000-11-01,5.691390381788836,Terrestrial
20,2000-11-01,5.752160581889134,Terrestrial
1,2000-12-01,5.933802248242507,Terrestrial
2,2000-12-01,6.559249213057542,Terrestrial (coincident aquatic)
3,2000-12-01,6.528770838314081,Terrestrial (coincident aquatic)
4,2000-12-01,6.122651150157585,Terrestrial (coincident aquatic)
5,2000-12-01,5.043609709452846,Terrestrial
6,2000-12-01,5.500317715047204,Terrestrial
7,2000-12-01,5.644130813591748,Terrestrial (coincident aquatic)
8,2000-12-01,5.702886224066078,Terrestrial
9,2000-12-01,4.960713632932889,Terrestrial (coincident aquatic)
10,2000-12-01,8.19622654461628,Terrestrial (coincident aquatic)
11,2000-12-01,8.000261094402122,Aquatic
12,2000-12-01,6.269442421247707,Aquatic
13,2000-12-01,6.3996552917394744,Aquatic
14,2000-12-01,7.82137393951416,Aquatic
15,2000-12-01,,Aquatic
16,2000-12-01,6.8704071044921875,Aquatic
17,2000-12-01,7.1281771659851065,Aquatic
18,2000-12-01,6.128108501434326,Aquatic
19,2000-12-01,6.048330897488231,Terrestrial
20,2000-12-01,5.972711769719436,Terrestrial
1,2001-10-01,6.020762003553641,Terrestrial
2,2001-10-01,6.13026688120146,Terrestrial (coincident aquatic)
3,2001-10-01,7.172886293472088,Terrestrial (coincident aquatic)
4,2001-10-01,6.0760606431577235,Terrestrial (coincident aquatic)
5,2001-10-01,5.141292589326595,Terrestrial
6,2001-10-01,5.412481645202819,Terrestrial
7,2001-10-01,6.403921306800983,Terrestrial (coincident aquatic)
8,2001-10-01,5.711146270934085,Terrestrial
9,2001-10-01,5.213794864883308,Terrestrial (coincident aquatic)
10,2001-10-01,7.117895478550862,Terrestrial (coincident aquatic)
11,2001-10-01,6.334856078135224,Aquatic
12,2001-10-01,7.545976531845136,Aquatic
13,2001-10-01,6.372510760017995,Aquatic
14,2001-10-01,7.664331912994385,Aquatic
15,2001-10-01,,Aquatic
16,2001-10-01,7.7163777351379395,Aquatic
17,2001-10-01,7.258132127615122,Aquatic
18,2001-10-01,5.546792030334473,Aquatic
19,2001-10-01,6.459258629590346,Terrestrial
20,2001-10-01,5.327684266741238,Terrestrial
1,2001-11-01,5.835944539024719,Terrestrial
2,2001-11-01,5.869533990413682,Terrestrial (coincident aquatic)
3,2001-11-01,7.377595212491192,Terrestrial (coincident aquatic)
4,2001-11-01,5.93791136471738,Terrestrial (coincident aquatic)
5,2001-11-01,5.077713176809847,Terrestrial
6,2001-11-01,5.25886257226535,Terrestrial
7,2001-11-01,6.560801580618768,Terrestrial (coincident aquatic)
8,2001-11-01,5.737442380453056,Terrestrial
9,2001-11-01,5.212373773437378,Terrestrial (coincident aquatic)
10,2001-11-01,6.771409160116326,Terrestrial (coincident aquatic)
11,2001-11-01,6.148460297345871,Aquatic
12,2001-11-01,7.442223069774765,Aquatic
13,2001-11-01,6.297767941335615,Aquatic
14,2001-11-01,7.622612476348877,Aquatic
15,2001-11-01,,Aquatic
16,2001-11-01,7.764370441436768,Aquatic
17,2001-11-01,7.200984477996826,Aquatic
18,2001-11-01,5.150934219360352,Aquatic
19,2001-11-01,6.142068752980838,Terrestrial
20,2001-11-01,5.286908850932396,Terrestrial
1,2001-12-01,5.7511206626294555,Terrestrial
2,2001-12-01,5.969616645986279,Terrestrial (coincident aquatic)
3,2001-12-01,6.277574010801087,Terrestrial (coincident aquatic)
4,2001-12-01,5.678966536426364,Terrestrial (coincident aquatic)
5,2001-12-01,4.891789302935743,Terrestrial
6,2001-12-01,5.222709658271187,Terrestrial
7,2001-12-01,5.870111149135502,Terrestrial (coincident aquatic)
8,2001-12-01,5.458695030054221,Terrestrial
9,2001-12-01,4.928471532625835,Terrestrial (coincident aquatic)
10,2001-12-01,7.219594478400383,Terrestrial (coincident aquatic)
11,2001-12-01,7.0640181596481275,Aquatic
12,2001-12-01,6.682814187448869,Aquatic
13,2001-12-01,5.8849439363801075,Aquatic
14,2001-12-01,6.996675491333008,Aquatic
15,2001-12-01,,Aquatic
16,2001-12-01,6.447684288024902,Aquatic
17,2001-12-01,6.463877311119667,Aquatic
18,2001-12-01,5.57393217086792,Aquatic
19,2001-12-01,5.757937919888508,Terrestrial
20,2001-12-01,5.646871065391317,Terrestrial
1,2002-10-01,6.584209705056406,Terrestrial
2,2002-10-01,6.471942665272142,Terrestrial (coincident aquatic)
3,2002-10-01,7.329026695970691,Terrestrial (coincident aquatic)
4,2002-10-01,6.5701335128559455,Terrestrial (coincident aquatic)
5,2002-10-01,5.936752194205235,Terrestrial
6,2002-10-01,6.295707659481454,Terrestrial
7,2002-10-01,6.482563034052393,Terrestrial (coincident aquatic)
8,2002-10-01,6.346313639506657,Terrestrial
9,2002-10-01,5.663089710750559,Terrestrial (coincident aquatic)
10,2002-10-01,7.2073662507995016,Terrestrial (coincident aquatic)
11,2002-10-01,6.76801653658406,Aquatic
12,2002-10-01,7.420746757657622,Aquatic
13,2002-10-01,6.809215365634874,Aquatic
14,2002-10-01,7.490570545196533,Aquatic
15,2002-10-01,,Aquatic
16,2002-10-01,7.837217807769775,Aquatic
17,2002-10-01,7.316666493049035,Aquatic
18,2002-10-01,6.026039123535156,Aquatic
19,2002-10-01,7.707282200687541,Terrestrial
20,2002-10-01,5.9298114576351955,Terrestrial
1,2002-11-01,6.351703594202985,Terrestrial
2,2002-11-01,6.255213100415023,Terrestrial (coincident aquatic)
3,2002-11-01,6.927128612729342,Terrestrial (coincident aquatic)
4,2002-11-01,6.1780104293339795,Terrestrial (coincident aquatic)
5,2002-11-01,5.585109070896608,Terrestrial
6,2002-11-01,5.855138511085861,Terrestrial
7,2002-11-01,6.237460067208678,Terrestrial (coincident aquatic)
8,2002-11-01,6.079682878291339,Terrestrial
9,2002-11-01,5.454849381037313,Terrestrial (coincident aquatic)
10,2002-11-01,7.336452623752641,Terrestrial (coincident aquatic)
11,2002-11-01,6.959241705846736,Aquatic
12,2002-11-01,7.032594495353977,Aquatic
13,2002-11-01,6.366818448398891,Aquatic
14,2002-11-01,7.455732822418213,Aquatic
15,2002-11-01,,Aquatic
16,2002-11-01,7.290318965911865,Aquatic
17,2002-11-01,7.003984157855694,Aquatic
18,2002-11-01,5.8165507316589355,Aquatic
19,2002-11-01,6.9270638183528135,Terrestrial
20,2002-11-01,5.87345649167304,Terrestrial
1,2002-12-01,5.884656572700444,Terrestrial
2,2002-12-01,6.1845176466020275,Terrestrial (coincident aquatic)
3,2002-12-01,6.941836776781849,Terrestrial (coincident aquatic)
4,2002-12-01,6.019396111233877,Terrestrial (coincident aquatic)
5,2002-12-01,5.025500402645577,Terrestrial
6,2002-12-01,5.270649182360172,Terrestrial
7,2002-12-01,6.026765754367096,Terrestrial (coincident aquatic)
8,2002-12-01,5.718097955089694,Terrestrial
9,2002-12-01,5.004457650791857,Terrestrial (coincident aquatic)
10,2002-12-01,7.14519313943916,Terrestrial (coincident aquatic)
11,2002-12-01,6.319417454736103,Aquatic
12,2002-12-01,6.859767374031865,Aquatic
13,2002-12-01,6.465655424353782,Aquatic
14,2002-12-01,7.749136447906494,Aquatic
15,2002-12-01,,Aquatic
16,2002-12-01,7.562540531158447,Aquatic
17,2002-12-01,7.306809425354003,Aquatic
18,2002-12-01,5.5494818687438965,Aquatic
19,2002-12-01,5.891423828576452,Terrestrial
20,2002-12-01,5.544553413830708,Terrestrial
1,2003-10-01,6.1227193513111775,Terrestrial
2,2003-10-01,5.893509260359709,Terrestrial (coincident aquatic)
3,2003-10-01,6.997431903998462,Terrestrial (coincident aquatic)
4,2003-10-01,6.019187313008949,Terrestrial (coincident aquatic)
5,2003-10-01,5.370047789261837,Terrestrial
6,2003-10-01,5.567421622542843,Terrestrial
7,2003-10-01,6.349834139471121,Terrestrial (coincident aquatic)
8,2003-10-01,5.71696681581245,Terrestrial
9,2003-10-01,5.213953339218032,Terrestrial (coincident aquatic)
10,2003-10-01,6.456531139845273,Terrestrial (coincident aquatic)
11,2003-10-01,5.732168166703174,Aquatic
12,2003-10-01,7.127834292660185,Aquatic
13,2003-10-01,6.293679360593303,Aquatic
14,2003-10-01,7.190185546875,Aquatic
15,2003-10-01,,Aquatic
16,2003-10-01,7.636114120483398,Aquatic
17,2003-10-01,6.994196048149696,Aquatic
18,2003-10-01,5.334903717041016,Aquatic
19,2003-10-01,6.872153188047791,Terrestrial
20,2003-10-01,5.340889621177801,Terrestrial
1,2003-11-01,5.625444859589949,Terrestrial
2,2003-11-01,5.717749407873975,Terrestrial (coincident aquatic)
3,2003-11-01,6.189571352244568,Terrestrial (coincident aquatic)
4,2003-11-01,5.551215223262399,Terrestrial (coincident aquatic)
5,2003-11-01,4.7994369619110895,Terrestrial
6,2003-11-01,4.971912822087655,Terrestrial
7,2003-11-01,5.65402904045294,Terrestrial (coincident aquatic)
8,2003-11-01,5.244423578968262,Terrestrial
9,2003-11-01,4.717499759449068,Terrestrial (coincident aquatic)
